evaluation,model,parameter_value,forget_set_dup,mia_loss,mia_min_k,mia_min_k_plus_plus,mia_zlib
passage_wikipedia,hubble-8b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.5094960604498325,0.5095411929919578,0.4961975833259559,0.5062534608848408
passage_wikipedia,hubble-8b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.5136132461473749,0.5142459353196992,0.5353506384250907,0.522390939334842
passage_wikipedia,hubble-8b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.4974949726093891,0.4976683309063171,0.4828895360931974,0.5051487414187643
passage_wikipedia,hubble-8b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.5059115179252479,0.506708966091117,0.46021427085500316,0.5128458498023716
yago_biographies,hubble-1b-500b_toks-perturbed-hf,0,Dup = 0 v/s Dup > 0,0.60588248,0.60550672,0.6145209600000001,0.59607312
yago_biographies,hubble-1b-500b_toks-perturbed-hf,1,Dup = 0 v/s Dup = 1,0.5064508398656216,0.5064909294512877,0.508820156774916,0.4993688689809631
yago_biographies,hubble-1b-500b_toks-perturbed-hf,4,Dup = 0 v/s Dup = 4,0.5566351623740202,0.5562315789473684,0.5650087346024636,0.5506315789473685
yago_biographies,hubble-1b-500b_toks-perturbed-hf,16,Dup = 0 v/s Dup = 16,0.6956860986547085,0.6947973094170403,0.714782062780269,0.6785533632286995
yago_biographies,hubble-1b-500b_toks-perturbed-hf,64,Dup = 0 v/s Dup = 64,0.9279150837988828,0.9267061452513967,0.9473720670391061,0.8989005586592179
yago_biographies,hubble-1b-500b_toks-perturbed-hf,256,Dup = 0 v/s Dup = 256,1.0,1.0,1.0,1.0
yago_biographies,hubble-1b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.49514992,0.49500952,0.50000864,0.49404304
yago_biographies,hubble-1b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.48754871220604706,0.4874631578947369,0.4986459126539753,0.48088734602463606
yago_biographies,hubble-1b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.49404344904815234,0.493989025755879,0.5009106382978723,0.49771914893617025
yago_biographies,hubble-1b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.5104026905829597,0.5100887892376682,0.494295067264574,0.5161022421524664
yago_biographies,hubble-1b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.493782122905028,0.49364469273743017,0.5181631284916202,0.4886614525139665
yago_biographies,hubble-1b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.5090786516853932,0.5083932584269664,0.49703820224719103,0.4896539325842697
yago_biographies,hubble-8b-500b_toks-perturbed-hf,0,Dup = 0 v/s Dup > 0,0.6922263200000001,0.69157496,0.71439696,0.67585136
yago_biographies,hubble-8b-500b_toks-perturbed-hf,1,Dup = 0 v/s Dup = 1,0.5377892497200447,0.5374985442329228,0.5710709966405375,0.5238880179171332
yago_biographies,hubble-8b-500b_toks-perturbed-hf,4,Dup = 0 v/s Dup = 4,0.652161254199328,0.6511552071668532,0.6862400895856663,0.6327856662933931
yago_biographies,hubble-8b-500b_toks-perturbed-hf,16,Dup = 0 v/s Dup = 16,0.8967264573991031,0.8956717488789238,0.8916565022421525,0.8715668161434977
yago_biographies,hubble-8b-500b_toks-perturbed-hf,64,Dup = 0 v/s Dup = 64,1.0,1.0,0.9945698324022346,1.0
yago_biographies,hubble-8b-500b_toks-perturbed-hf,256,Dup = 0 v/s Dup = 256,1.0,1.0,0.9832179775280899,1.0
yago_biographies,hubble-8b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.49876656,0.49881023999999996,0.5027592,0.49540048000000003
yago_biographies,hubble-8b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.4893025755879059,0.4894246360582307,0.4996094064949608,0.4794468085106383
yago_biographies,hubble-8b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.49863337066069424,0.4985612541993281,0.5030790593505039,0.5004425531914893
yago_biographies,hubble-8b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.5194466367713004,0.5194793721973094,0.5071040358744395,0.5230717488789238
yago_biographies,hubble-8b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.4863553072625698,0.4867083798882682,0.5049519553072626,0.48110837988826816
yago_biographies,hubble-8b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.5163865168539326,0.516238202247191,0.5049483146067416,0.49495280898876404
